farm_id,farm_name,supplier_name,category,item_name,estimated_cost_usd,days_to_planting,supplier_lead_days,urgency,recommended_order_date
10,Mutare Tea Estate,SeedCo,Seeds,Item-663,9001,3,19,CRITICAL,2026-05-03
10,Mutare Tea Estate,Tractor Centre,Equipment,Item-836,44159,19,7,HIGH,2026-04-29
11,Gweru Livestock Ranch,Tractor Centre,Spare Parts,Item-592,47684,7,20,CRITICAL,2026-04-29
11,Gweru Livestock Ranch,Tractor Centre,Fertilizer,Item-212,27491,53,10,LOW,2026-04-20
11,Gweru Livestock Ranch,ChemTech,Seeds,Item-220,34892,52,8,LOW,2026-04-07
11,Gweru Livestock Ranch,Zim Fert,Fertilizer,Item-871,36285,58,3,LOW,2026-04-06
11,Gweru Livestock Ranch,ChemTech,Equipment,Item-784,8574,8,20,CRITICAL,2026-04-25
12,Harare Peri-Urban Veg,AgriSupply Co.,Seeds,Item-940,7690,12,11,HIGH,2026-04-15
12,Harare Peri-Urban Veg,Zim Fert,Spare Parts,Item-992,30825,51,3,LOW,2026-04-23
12,Harare Peri-Urban Veg,AgriSupply Co.,Equipment,Item-997,22094,24,18,MEDIUM,2026-04-26
12,Harare Peri-Urban Veg,AgriSupply Co.,Spare Parts,Item-302,21799,19,9,HIGH,2026-04-25
